feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacillus	Group	Tumor	0.759275631451244	0.205886236067219	456	347	0.000283041597845111	0.0251514702253876
Bacillus	Group	Tumor	-1.09259245491448	0.322376641751428	456	116	0.000762165764405684	0.0251514702253876
Devosia	Group	Tumor	-0.735375174408171	0.210796291229937	456	70	0.000583138262986247	0.0251514702253876
Acetobacter	Group	Tumor	0.0975029755414042	0.0515116722011401	456	398	0.0596523502308991	0.492131889404917
Actinomadura	Group	Tumor	0.120601858629861	0.0557596810522944	456	390	0.0315946869251639	0.492131889404917
Actinopolymorpha	Group	Tumor	0.107219109142239	0.0527645380351794	456	386	0.0433154168305138	0.492131889404917
Alkanindiges	Group	Tumor	0.375324785275608	0.194824741014515	456	405	0.0546691389495606	0.492131889404917
Ammoniphilus	Group	Tumor	-0.104633175449218	0.0489512862686251	456	404	0.0336267706139598	0.492131889404917
Brachybacterium	Group	Tumor	-0.499530044927676	0.237183031715168	456	66	0.0362946462712462	0.492131889404917
Janibacter	Group	Tumor	-0.341191798819517	0.164669070268041	456	52	0.0393965498236319	0.492131889404917
Sphingobium	Group	Tumor	-0.456392021889981	0.240160372777725	456	62	0.058018620766135	0.492131889404917
Unknown.genus24	Group	Tumor	0.327732601360269	0.16498685636856	456	52	0.0481898340567341	0.492131889404917
Aeromonas	Group	Tumor	-0.285816252196726	0.172776622326792	456	409	0.0987672731430864	0.625601691282424
Agromyces	Group	Tumor	0.244647785075312	0.155122453062239	456	307	0.116158879414788	0.625601691282424
Alkaliphilus	Group	Tumor	0.108886105362897	0.0661517033178653	456	328	0.101146316808773	0.625601691282424
Corynebacterium	Group	Tumor	-0.662471793819009	0.420845949968791	456	320	0.116847020408411	0.625601691282424
Lactococcus	Group	Tumor	-0.372852596010062	0.230087772958714	456	59	0.106517524197853	0.625601691282424
Methylobacterium	Group	Tumor	-0.418312552820417	0.270983804110602	456	152	0.124058537168891	0.625601691282424
Microbacterium	Group	Tumor	-0.386218039028499	0.251746499937832	456	100	0.126384180057055	0.625601691282424
Rothia	Group	Tumor	-0.549390570575106	0.322169845105914	456	128	0.0895097379349807	0.625601691282424
Actinoplanes	Group	Tumor	0.35239690006685	0.236481852805677	456	144	0.137569097442642	0.634917169147887
Aeromicrobium	Group	Tumor	0.108215865243549	0.0739707849592084	456	405	0.144863129579309	0.634917169147887
Akkermansia	Group	Tumor	0.0863460454027961	0.063128433092057	456	356	0.172732329804257	0.634917169147887
Alloiococcus	Group	Tumor	0.404603092537675	0.297688328853782	456	222	0.175447827520321	0.634917169147887
Amnibacterium	Group	Tumor	0.0826150273899462	0.0607603482631936	456	364	0.175278147561188	0.634917169147887
Escherichia.Shigella	Group	Tumor	-0.387392959548225	0.271248835486098	456	143	0.154613598445747	0.634917169147887
Unknown.genus6	Group	Tumor	-0.208347979247017	0.15476452473421	456	47	0.179572532688291	0.634917169147887
Veillonella	Group	Tumor	-0.268337106712958	0.188539193143505	456	93	0.156038606774426	0.634917169147887
X5.7N15	Group	Tumor	0.0682701355355253	0.0577523786921849	456	387	0.237777586591001	0.692352384485563
Aequorivita	Group	Tumor	0.0784398468794012	0.064434114274383	456	314	0.224729316790386	0.692352384485563
Afipia	Group	Tumor	0.187689855022309	0.154408567103514	456	405	0.22479174441412	0.692352384485563
Alloscardovia	Group	Tumor	-0.0637440694736462	0.0525869990609154	456	396	0.22670972990931	0.692352384485563
Arthrobacter	Group	Tumor	-0.245839583950244	0.205702029745168	456	58	0.233285401678089	0.692352384485563
Propionibacterium	Group	Tumor	-0.259690237903065	0.203971279268716	456	117	0.204259789065684	0.692352384485563
Afifella	Group	Tumor	-0.127442843579705	0.116673762564618	456	335	0.275858816093439	0.780286365521443
Acinetobacter	Group	Tumor	0.112224238578903	0.126087446385681	456	433	0.374380890639934	0.789557705212214
Actinobaculum	Group	Tumor	0.0631696977497377	0.0636387945488702	456	364	0.3214196457717	0.789557705212214
Actinomyces	Group	Tumor	-0.127652377598266	0.145458596380575	456	392	0.381096479070968	0.789557705212214
Aminobacter	Group	Tumor	0.109135438011429	0.116551413174678	456	403	0.349579688168915	0.789557705212214
Anoxybacillus	Group	Tumor	-0.158904059196231	0.171728799867312	456	56	0.355782226244679	0.789557705212214
Caulobacter	Group	Tumor	0.160560689673072	0.162143129964099	456	46	0.323110936317979	0.789557705212214
Halomonas	Group	Tumor	-0.196927481163393	0.20631690576734	456	50	0.340850846096765	0.789557705212214
Lactobacillus	Group	Tumor	0.315915244607914	0.297203568101893	456	123	0.288929969009385	0.789557705212214
Leptotrichia	Group	Tumor	-0.175189490677889	0.200350252485099	456	79	0.382815857072588	0.789557705212214
Neisseria	Group	Tumor	-0.216486237361008	0.214930223238207	456	101	0.314892095396207	0.789557705212214
Pseudomonas	Group	Tumor	0.380864578315129	0.387092503255735	456	289	0.326206788753765	0.789557705212214
Staphylococcus	Group	Tumor	-0.298182777969186	0.332614834811797	456	250	0.370945807201923	0.789557705212214
Unknown.genus41	Group	Tumor	-0.18070949936118	0.185692280506256	456	46	0.331506432577248	0.789557705212214
Kaistobacter	Group	Tumor	0.147930241430965	0.17355759641769	456	62	0.394922767062915	0.797905182433236
Alkalibacter	Group	Tumor	-0.0576792318628968	0.0712944584625229	456	167	0.419346031440859	0.8303051422529
Porphyromonas	Group	Tumor	-0.20627794078783	0.26130383495686	456	54	0.430691533286777	0.83604827049786
Acetivibrio	Group	Tumor	0.037939546049106	0.0490975454120949	456	405	0.440481207222441	0.838608452211954
A17	Group	Tumor	0.0452915332701419	0.0686229446714736	456	239	0.509919295160856	0.868267650404926
Abiotrophia	Group	Tumor	0.0464886500325332	0.0696545442656636	456	361	0.505183513104909	0.868267650404926
Alcanivorax	Group	Tumor	0.105730567908652	0.165016790867768	456	358	0.522346923551983	0.868267650404926
Alicyclobacillus	Group	Tumor	-0.0436114900587694	0.0706313174108354	456	277	0.537555125422294	0.868267650404926
Aliidiomarina	Group	Tumor	0.0324885653521382	0.0534309315127353	456	402	0.543763579041469	0.868267650404926
Cloacibacterium	Group	Tumor	-0.107699682851585	0.175858582505072	456	50	0.540871509948227	0.868267650404926
Mesorhizobium	Group	Tumor	-0.131044860025085	0.195079767484272	456	57	0.502084451582114	0.868267650404926
Mycobacterium	Group	Tumor	0.104414982308861	0.170110000526406	456	60	0.539956421634586	0.868267650404926
Stenotrophomonas	Group	Tumor	0.168349166330229	0.236550522800683	456	60	0.47739135395286	0.868267650404926
Unknown.genus20	Group	Tumor	-0.150867023637059	0.218360368285073	456	56	0.489976171942367	0.868267650404926
Acetobacterium	Group	Tumor	-0.0307637386442182	0.0545545590882547	456	379	0.573373599103502	0.89414502634265
Achromobacter	Group	Tumor	-0.0261991932552519	0.0514832154192576	456	384	0.611324956705642	0.89414502634265
Alistipes	Group	Tumor	0.0471227483786614	0.0854819970917786	456	339	0.581998102674295	0.89414502634265
Altererythrobacter	Group	Tumor	0.103443008750737	0.209054687110766	456	182	0.621210591035972	0.89414502634265
Bosea	Group	Tumor	-0.142563658704009	0.272293496423017	456	92	0.600835791931425	0.89414502634265
Ralstonia	Group	Tumor	0.0903456209722355	0.183627827450468	456	73	0.623191988056999	0.89414502634265
Roseomonas	Group	Tumor	0.0914335544526263	0.18138967179373	456	50	0.614699276025204	0.89414502634265
Actinomycetospora	Group	Tumor	-0.0259307295251833	0.0546825185434917	456	385	0.635809468990275	0.899216249000533
Novosphingobium	Group	Tumor	0.0674979231058914	0.156584277798932	456	50	0.666830531044132	0.916891980185682
Unknown.genus123	Group	Tumor	0.113165250364434	0.255743444327392	456	131	0.658552221174723	0.916891980185682
Blastococcus	Group	Tumor	-0.0815795184701113	0.201195189908308	456	48	0.685510658900929	0.929665140153315
Acidaminococcus	Group	Tumor	0.00840263292922285	0.0557848196086205	456	393	0.880337809082173	0.933129994465468
Acidovorax	Group	Tumor	-0.0340218240530583	0.161097994247285	456	413	0.832930717401827	0.933129994465468
Adhaeribacter	Group	Tumor	0.0168892304535076	0.0827263446367922	456	383	0.838413088856952	0.933129994465468
Aeribacillus	Group	Tumor	-0.00964650126464325	0.0606262091126056	456	366	0.873720239242174	0.933129994465468
Aerococcus	Group	Tumor	-0.0111056181624582	0.0903373018093201	456	401	0.902212954170869	0.933129994465468
Aggregatibacter	Group	Tumor	-0.0163351132807897	0.134440051318059	456	385	0.903398691733443	0.933129994465468
Agrobacterium	Group	Tumor	-0.0568238807343198	0.182132587875784	456	379	0.755333106449239	0.933129994465468
Agrococcus	Group	Tumor	0.0216843974677918	0.0847558568138643	456	400	0.798301890470356	0.933129994465468
Alcaligenes	Group	Tumor	-0.040280919137979	0.112670190241536	456	399	0.720874852928249	0.933129994465468
Algoriphagus	Group	Tumor	-0.0155761356119308	0.0515931195475351	456	399	0.763002152963134	0.933129994465468
Alishewanella	Group	Tumor	-0.0557155589171978	0.182406098670058	456	310	0.760304954437118	0.933129994465468
Alkalibacterium	Group	Tumor	0.00761743610115174	0.0549550735912311	456	383	0.889879597351193	0.933129994465468
Allobaculum	Group	Tumor	0.034385049987954	0.160354969289162	456	199	0.830403598380963	0.933129994465468
Amaricoccus	Group	Tumor	-0.0185218930455249	0.0706515619264394	456	325	0.793437148579174	0.933129994465468
Anaerococcus	Group	Tumor	-0.043315714886232	0.188506086260433	456	63	0.818362975296253	0.933129994465468
Brevundimonas	Group	Tumor	0.0419346997702648	0.233583311103404	456	87	0.857683431225857	0.933129994465468
Enterobacter	Group	Tumor	-0.026839874917386	0.195783639679339	456	76	0.8910815897738	0.933129994465468
Gemella	Group	Tumor	-0.0459742180225372	0.167188020582681	456	59	0.783452765939629	0.933129994465468
Massilia	Group	Tumor	0.039225054626585	0.20478462602007	456	102	0.848271442024294	0.933129994465468
Nocardioides	Group	Tumor	0.0358907544691367	0.148455522197658	456	58	0.809183622317805	0.933129994465468
Paracoccus	Group	Tumor	0.103328683633834	0.373674979596039	456	179	0.782400146106016	0.933129994465468
Sphingomonas	Group	Tumor	-0.0455270729351153	0.349364355286271	456	258	0.896433395564115	0.933129994465468
Streptococcus	Group	Tumor	-0.047682364002127	0.398461049665602	456	293	0.904853327966514	0.933129994465468
Fusobacterium	Group	Tumor	0.0183228118073577	0.195344726769764	456	90	0.925352897155574	0.944432338334039
Chryseobacterium	Group	Tumor	0.00991453296199708	0.227067374078924	456	72	0.965211099578815	0.965211099578815
Prevotella	Group	Tumor	0.015296273425074	0.279131388328129	456	154	0.9563463611515	0.965211099578815
